appId,title,developer,score,reviews_count,installs,free,price,currency,updated,genre,contentRating,minInstalls,maxInstalls,summary,most_liked_review,most_disliked_review,discovered_from_category,discovered_query
com.king.candycrushsaga,Candy Crush Saga,King,4.6199055,38967186,"1,000,000,000+",True,0,USD,1755869326,Casual,Everyone,1000000000,,Match your way through candy puzzles packed with fun and clever challenges!,"I loved this game. Played for years (over 9000 levels). But now it's a money grab. The levels are almost impossible to beat, so many hard levels now (8 in a row!), legendary (insanely hard) levels added (4 in a row!), fish power-ups ruin moves instead of helping like they used to, and not getting power-ups I pay for. I didn't think I would ever walk away from this game, but the fun is gone.","fun game as always, but the amount of pop ups when you open the game and in between levels is so annoying. it wasnt like this the last time i played the game several years ago, and honestly it feels very desperate. i appreciate the free boosts, but with 5 concurrent event pages/pop-ups and daily real currency purchase packages being advertised all the time, i get fed up. i only want to play when i want to relax and unwind, but the ads and pop ups are just as annoying as real life...",GAME,top free games
com.rovio.baba,Angry Birds 2,Rovio Entertainment Oy,4.160458,6278531,"100,000,000+",True,0,USD,1756979292,Casual,Everyone,100000000,,Play the Angry Birds game enjoyed by millions of players every day!,"The game is rough. Some levels are made to be damn near unbearable because they desperately want you to spend money in their shop. And oh my god the popups. Every time I enter the main menu, whether I'm just booting up the game or I'm changing game modes, I never get anything less than four popups in a row advertising literally every aspect of the shop. And to make it worse there are ads every couple minutes. If you're thinking of playing this out of nostalgia for the original, don't do it",Got back into this after playing the originals. I used to play these games for hours waiting to get tired while laying in bed. Won't be doing that with this game. You only get so many lives before the game forces you to buy more. You lose a life even when completing a level? i understand losing a life if you fail but come on. This is just plain greed. You get maybe 15 minutes of gameplay before you have to spend some sort of in game currency. Disappointed is an understatement.,GAME,top free games
com.vincentb.MobControl,Mob Control,VOODOO,4.15985,753159,"100,000,000+",True,0,USD,1756913286,Arcade,Everyone,100000000,,"Join Mob Control: Grow your army, lead your mobs, and conquer the battlefield!","This game is a lot of fun and extremely addictive. However, it can also be infuriating! I would easily rate it 5 stars, except there have been so many instances where coming back from an ad causes the game to freeze. with no option but to force close and relaunch, causing lost matches, streaks, and potential rewards. Still pretty fun, though.","There are TOO MANY ADS for this game and FAR TOO LONG (more than 50 seconds). It's killing the fun and I'm reaching a point of just deleting this. Especially when slapped with an ad in another language ""REALLY!!?"" You're expecting someone to just sit through it without understanding it. Even the pricing for the extras are outrageous. I watched a few ads and wasn't rewarded because the app restarted, on numerous occasions, so I don't watch the ads any longer (that's too convenient). Check reviews",GAME,top free games
com.imangi.templerun2,Temple Run 2: Endless Escape,Imangi Studios,4.128295,10095168,"1,000,000,000+",True,0,USD,1754396375,Action,Everyone 10+,1000000000,,"Run, jump, and escape in the ultimate endless jungle adventure game!","Edit....I thought I would give this game another shot. Waste of time. Worse then the first time. Way too many ads. It downloaded 3 games from the ads that I didn't want. Save your time and skip it. Uninstalling immediately. It's just ok. Controls are very unresponsive. I swipe to jump or slide and it only works about half the time. I'm betting it's designed that way on purpose to get you to spend money. Way to many ads even for a ""free"" game.","Edit....I thought I would give this game another shot. Waste of time. Worse then the first time. Way too many ads. It downloaded 3 games from the ads that I didn't want. Save your time and skip it. Uninstalling immediately. It's just ok. Controls are very unresponsive. I swipe to jump or slide and it only works about half the time. I'm betting it's designed that way on purpose to get you to spend money. Way to many ads even for a ""free"" game.",GAME,top free games
com.ea.game.pvzfree_row,Plants vs. Zombies™,ELECTRONIC ARTS,3.948873,5807313,"500,000,000+",True,0,USD,1755585029,Strategy,Everyone 10+,500000000,,Stem a zombie attack on your yard with the help of powerful plants!,"I'm not an OG player, so this is a rather unbiased opinion. I do greatly enjoy this game, it's never boring and honestly the ads are bearable. One problem I do have is the lag. Especially in the later levels, the game lags so much it takes me quite a long time to complete levels. Not even joking, it takes me up to 30 minutes at a time because the game runs so ridiculously slow. A snail could run a marathon before I complete 5 levels. It is quite fun though, and I recommend you give it a try.","I should've read the reviews because it seems like everyone is having the same issue. I paid for the ad-free version, but am still getting ads. I am very annoyed at this. This is one of my favorite games, please fix this very irritating issue!! update: it has been a little over 3 years since my review. there have been updates to the game, but the ad issue has not been fixed. please do not advertise ad-free version if paying for it does nothing.",GAME,top free games
com.truebill,Rocket Money - Bills & Budgets,Rocket Money - Bills & Budgets,4.6492085,109604,"10,000,000+",True,0,USD,1756487713,Finance,Everyone,10000000,,"Manage and cancel subscriptions, lower bills, track expenses, create budgets.","very intuitive ui. really helps visualize your budget if you get a fixed amount every month. only three stars because i'm constantly-- and i mean *constantly*-- having to go through the tedious process of reconnecting my bank account to the app. never stays connected for more than a day. what's the point if it never syncs? then i have to go through my bank and unlock my bank acct, reset my bank security questions, etc. otherwise, the app is ok. had it for 3 months now and no changes.","Rocket Money used to be great but over time it has turned into another useless app with a yearly subscription that does nothing valuable. The credit score is inaccurate, budgeting doesn't work because it doesn't detect half your transactions, and they don't actually help with cancelling subscriptions or anything like that, they just have links that take you to the website to do it yourself. I was a happy subscriber for over a year, but now I've deleted my account and the app and will not return.",FINANCE,finance apps
com.google.android.apps.walletnfcrel,Google Wallet,Google LLC,4.4979105,1975434,"1,000,000,000+",True,0,USD,1756398787,Finance,Everyone,1000000000,,"Fast, secure access to everyday essentials like cards, passes or tickets","Works, but works TOO well. sometimes if i have my phone out just a few feet away from a payment thing (like to grab coupons/check my balance), it opens the app automatically, without my permission, and tries to pay. how the hell is that secure? no ""confirm payment!"" button or anything, just. phone open? payment terminal 1 foot away? PAY PAY PAY PAY PAY. i have to disable NFC just to keep it from accidentally opening (and theres no quick ""disable/enable nfc"" button). does NOT feel secure.","i am unable to add my credit card - it keeps asking me for the CVC and then just says Something wrong happened - try again later. The card has been saved on my payments profile website and I am unable to remove it and add it again. It's been more than a month with no solution in sight. I tried everything - cleared cache, cleared data and even re installed the app. The bank also has no clue about how to resolve this.",FINANCE,finance apps
com.freeman.moneymanager,Money Tracker-Expense & Budget,Horoscope365,4.912088,205770,"5,000,000+",True,0,USD,1756815637,Finance,Teen,5000000,,"Money management made simple. Expense tracker, cash book and bill organizer.","This app is really easy to use. The ads aren't invasive. You can add categories & little icons to match. My FAVOURITE feature is the inclusion of regular payments so the user doesn't have to add it every month, e.g., insurance contributions. PLUS, it does automatic currency conversions 🤯. Hands down the best tracker I've used! Please EXPLORE this app-a lot of features other reviews say the app doesn't have, it does, e.g exporting data. Edited to remove a suggestion that the developer applied😁",Had the previous version on an older phone. Loved it. Installed this one on my new phone... what happened? It's clunky. The screen is cluttered. Even the font is a poor choice. Color coding of categories is gone. Monochrome and poor navigation astound the app forced me to uninstall. Very disappointing. Ya fixed something that wasn't broke.,FINANCE,finance apps
com.venmo,Venmo,Venmo,4.147173,851326,"50,000,000+",True,0,USD,1756256638,Finance,Everyone,50000000,,Venmo is the fun and easy way to pay and get paid.,"Use this app as long as you don't mind being unable to touch your account balance. nothing better than seeing the small bit of money you received that you actually really needed asap be untouchable ""but it's the bank"" didn't know another venmo account or visa+ counted as my bank not allowing it to go through. cool though. love knowing I can't use my money for Christmas 🧡","I got Venmo and the debit card with the intention of using it as a way to save for personal fun spending. Turns out, as a sportsman, many of the things I was planning on using it for are prohibited by their terms of service even though they're legal purchases (think ammunition, firearms, etc. from licensed companies). Large money transfers also take a LONG time, and customer service is a joke when needed, as it relies heavily on an incompetent AI system. I'll be looking for other solutions.",FINANCE,finance apps
com.paypal.android.p2pmobile,"PayPal - Pay, Send, Save",PayPal Mobile,4.253475,3522336,"100,000,000+",True,0,USD,1756487237,Finance,Everyone,100000000,,"The PayPal app is the secure way to send and receive money, shop and pay in 4.",Works great! When you send the money to friends and family and I need it right away the thing is wonderful. It's great when purchasing things online. On your PayPal app you set a default way for it to be taken out to pay for what you're ordering whether it's on Walmart or any place else. Just remember that if you're using PayPal to pay and it's not something that you want to come off of whatever your default card is you need to go in and change it.,"In order to use the app, you have to dismiss a credit card offer, debit card offer, cryptocurrency trading account, coupon and offers screen, and receive unsolicited scam invoices that you cannot block. It's no mystery why all your friends tell you to Venmo, Cash App, or risk it with Zelle before mentioning PayPal. Unfortunately, it's probably a matter of time before the cancer spreads to Venmo.",FINANCE,finance apps
